feature,importance
family_lag1_production,27426301952.0
weekly_sales_sum,21307938816.0
stores_mean_production,16150859776.0
weekly_demand_sum,6800427520.0
total_capacity,5141734400.0
family_lag2_production,2259032576.0
life_cycle_length,1759338112.0
weekly_demand_mean,1555390336.0
total_exposure,1475368960.0
price_per_size,953336064.0
weekly_sales_mean,406062336.0
price,371344128.0
weekly_sales_max,286053952.0
silhouette_type_encoded,277990304.0
num_stores,271729664.0
weekly_sales_std,226776368.0
season_type,215882512.0
fabric_encoded,209055760.0
weekly_demand_max,188552080.0
embedding_max,150102816.0
num_sizes,146037248.0
weekly_demand_std,129519128.0
archetype_encoded,126202816.0
family_mean_production,125071392.0
knit_structure_encoded,123575944.0
aggregated_family_encoded,121599080.0
phase_in_month,115176936.0
family_median_production,109658384.0
revenue_potential,106562440.0
embedding_std,102370384.0
embedding_mean,102350208.0
category_encoded,98869088.0
color_name_encoded,98817320.0
season_total_production,98177712.0
family_std_production,89613472.0
phase_in_dayofyear,88997800.0
moment_encoded,83777912.0
woven_structure_encoded,81258784.0
category_median_production,78370512.0
print_type_encoded,69149080.0
length_type_encoded,62674712.0
season_mean_production,59864296.0
family_encoded,57976332.0
category_mean_production,52911712.0
waist_type_encoded,51497816.0
embedding_min,50351184.0
id_season,50235460.0
phase_in_quarter,43690996.0
id_season_encoded,42615644.0
sleeve_length_type_encoded,39874572.0
year,39060648.0
toecap_type_encoded,0.0
heel_shape_type_encoded,0.0
embedding_len,0.0
heel_shape_type,0.0
toecap_type,0.0
